pos_receipt_no,sold_at,item_description,units,item_price,store_name,store_city,payment_type,status
POS-0301,02-May-2026, TAVI Urban Shield Sunscreen SPF 50 30ml ,1,89900,Paragon Beauty Store,Jakarta,E-Wallet,returned
POS-0302,31-May-2026, Emina Cheek Lit Cream Blush Peach ,1,46900,Paragon Beauty Store,Surabaya,Credit Card,cancelled
POS-0303,30-Jun-2026,LABORE-Barrier-Revive-Cream-30ml,2,119000,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0304,22-Feb-2026,Wardah Lightening Micellar Water 100ml,0,28900,Paragon Beauty Store,Yogyakarta,Transfer Bank,completed
POS-0305,07-Mar-2026,Make-Over-Powerstay-Matte-Powder-Foundation-N20,1,179000,Paragon Beauty Store,Yogyakarta,COD,completed
POS-0306,10-May-2026,Wardah Colorfit Velvet Matte Lip Mousse 03,1,62900,Paragon Beauty Store,Yogyakarta,Credit Card,cancelled
POS-0307,01-Jul-2026, Wardah Colorfit Perfect Glow Cushion 13N ,3,109000,Paragon Beauty Store,Jakarta,Credit Card,cancelled
POS-0308,02-Jan-2026, Emina Sun Battle SPF 50 PA++++ 30ml ,3,-50000,Paragon Beauty Store,Yogyakarta,COD,returned
POS-0309,13-Apr-2026,KAHF FACE WASH OIL AND COMEDO DEFENSE 100ML,1,42900,Paragon Beauty Store,Bandung,COD,cancelled
POS-0310,28-May-2026,Wardah Colorfit Velvet Matte Lip Mousse 03,3,62900,Paragon Beauty Store,Bandung,E-Wallet,completed
POS-0311,11-Apr-2026,Emina-Sun-Battle-SPF-50-PA++++-30ml,1,49900,Paragon Beauty Store,Jakarta,Credit Card,returned
POS-0312,02-Apr-2026,Crystallure Supreme Revitalizing Oil Serum 20ml,3,219000,Paragon Beauty Store,Bandung,Credit Card,cancelled
POS-0313,07-Jun-2026,Instaperfect Skincover Air Cushion 02 Beige,1,149000,Paragon Beauty Store,Surabaya,Credit Card,returned
POS-0314,23-Jan-2026,Emina Glossy Stain 01 Autumn Bell,2,52900,Paragon Beauty Store,Bandung,Credit Card,cancelled
POS-0315,19-Mar-2026, LABORE BiomeProtect Physical Sunscreen SPF 50 30ml ,1,129000,Paragon Beauty Store,Semarang,E-Wallet,cancelled
POS-0316,05-Jul-2026, Wonderly Body Mist Sweet Blossom 100ml ,2,45900,Paragon Beauty Store,,Credit Card,cancelled
POS-0317,25-May-2026,LABORE BiomeProtect Physical Sunscreen SPF 50 30ml,3,129000,Paragon Beauty Store,Bandung,COD,completed
POS-0318,23-Jan-2026, Instaperfect Skincover Air Cushion 02 Beige ,1,149000,Paragon Beauty Store,Bandung,COD,completed
POS-0319,29-Apr-2026,Wardah-Aloe-Hydramild-Moisturizer-40ml,1,45900,Paragon Beauty Store,Jakarta,COD,completed
POS-0320,31-Jan-2026,WARDAH LIGHTENING MICELLAR WATER 100ML,1,28900,Paragon Beauty Store,Jakarta,,completed
POS-0321,12-Mar-2026, Make Over Powerstay Matte Powder Foundation N20 ,3,179000,Paragon Beauty Store,Surabaya,E-Wallet,returned
POS-0322,23-Jun-2026,INSTAPERFECT SKINCOVER AIR CUSHION 02 BEIGE,1,149000,Paragon Beauty Store,Surabaya,Credit Card,cancelled
POS-0323,03-Aug-2026,Kahf-Face-Wash-Oil-and-Comedo-Defense-100ml,3,42900,Paragon Beauty Store,Bandung,Credit Card,returned
POS-0324,13-Aug-2026, Biodef Body Wash Fresh Care 450ml ,3,35900,Paragon Beauty Store,Bandung,Credit Card,in_progress
POS-0325,19-Apr-2026, Emina Cheek Lit Cream Blush Peach ,1,46900,Paragon Beauty Store,Surabaya,Credit Card,completed
POS-0326,17-May-2026, Biodef Body Wash Fresh Care 450ml ,3,35900,Paragon Beauty Store,Jakarta,Transfer Bank,completed
