sku,product_name,brand,category,price
WRD-SKC-001,Wardah UV Shield Aqua Fresh Essence SPF 50 PA++++ 30ml,Wardah,Skincare,68900
WRD-SKC-002,Wardah Lightening Micellar Water 100ml,Wardah,Skincare,28900
WRD-MUP-001,Wardah Colorfit Velvet Matte Lip Mousse 03,Wardah,Makeup,62900
WRD-MUP-002,Wardah Colorfit Perfect Glow Cushion 13N,Wardah,Makeup,109000
EMN-SKC-001,Emina Bright Stuff Face Wash 100ml,Emina,Skincare,27900
EMN-SKC-002,Emina Sun Battle SPF 50 PA++++ 30ml,Emina,Skincare,49900
EMN-MUP-001,Emina Cheek Lit Cream Blush Peach,Emina,Makeup,46900
EMN-MUP-002,Emina Glossy Stain 01 Autumn Bell,Emina,Makeup,52900
MKO-MUP-001,Make Over Powerstay Weightless Liquid Foundation W22,Make Over,Makeup,169000
MKO-MUP-002,Make Over Powerstay Matte Powder Foundation N20,Make Over,Makeup,179000
KHF-SKC-001,Kahf Triple Protection Sunscreen Moisturizer SPF 30,Kahf,Mens Grooming,54900
KHF-BDY-001,Kahf Face Wash Oil and Comedo Defense 100ml,Kahf,Mens Grooming,42900
LBR-SKC-001,LABORE BiomeProtect Physical Sunscreen SPF 50 30ml,LABORE,Skincare,129000
LBR-SKC-002,LABORE Barrier Revive Cream 30ml,LABORE,Skincare,119000
INS-MUP-001,Instaperfect Skincover Air Cushion 02 Beige,Instaperfect,Makeup,149000
CRY-SKC-001,Crystallure Supreme Revitalizing Oil Serum 20ml,Crystallure,Skincare,219000
TVI-SKC-001,TAVI Urban Shield Sunscreen SPF 50 30ml,TAVI,Skincare,89900
BDF-BDY-001,Biodef Body Wash Fresh Care 450ml,Biodef,Body Care,35900
WND-BDY-001,Wonderly Body Mist Sweet Blossom 100ml,Wonderly,Fragrance,45900
WRD-SKC-003,Wardah Aloe Hydramild Moisturizer 40ml,Wardah,Skincare,45900
